tool,severity,rule_id,title,file,line,cve,cwe,owasp,details
dependency-check,MEDIUM,pkg:maven/commons-httpclient/commons-httpclient@3.1,CVE-2012-5783,/src/lib/commons-httpclient-3.1.jar,,CVE-2012-5783,CWE-295,,"Apache Commons HttpClient 3.x, as used in Amazon Flexible Payments Service (FPS) merchant Java SDK and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate."
dependency-check,MEDIUM,pkg:maven/commons-httpclient/commons-httpclient@3.1,CVE-2020-13956,/src/lib/commons-httpclient-3.1.jar,,CVE-2020-13956,NVD-CWE-noinfo,,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host for request execution.
dependency-check,CRITICAL,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,CVE-2015-3253,/src/lib/groovy-all-2.1.6.jar,,CVE-2015-3253,CWE-74,,The MethodClosure class in runtime/MethodClosure.java in Apache Groovy 1.7.0 through 2.4.3 allows remote attackers to execute arbitrary code or cause a denial of service via a crafted serialized object.
dependency-check,CRITICAL,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,CVE-2016-6814,/src/lib/groovy-all-2.1.6.jar,,CVE-2016-6814,CWE-502,,"When an application with unsupported Codehaus versions of Groovy from 1.7.0 to 2.4.3, Apache Groovy 2.4.4 to 2.4.7 on classpath uses standard Java serialization mechanisms, e.g. to communicate between servers or to store local data, it was possible for an attacker to bake a special serialized object that will execute code directly when deserialized. All applications which rely on serialization and do not isolate the code which deserializes objects were subject to this vulnerability."
dependency-check,MEDIUM,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,CVE-2020-17521,/src/lib/groovy-all-2.1.6.jar,,CVE-2020-17521,NVD-CWE-Other,,"Apache Groovy provides extension methods to aid with creating temporary directories. Prior to this fix, Groovy's implementation of those extension methods was using a now superseded Java JDK method call that is potentially not secure on some operating systems in some contexts. Users not using the extension methods mentioned in the advisory are not affected, but may wish to read the advisory for further details. Versions Affected: 2.0 to 2.4.20, 2.5.0 to 2.5.13, 3.0.0 to 3.0.6, and 4.0.0-alpha-1. Fixed in versions 2.4.21, 2.5.14, 3.0.7, 4.0.0-alpha-2."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-annotations@2.4.0,CVE-2018-1000873,/src/lib/jackson-annotations-2.4.0.jar,,CVE-2018-1000873,CWE-20,,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-core@2.4.6,CVE-2018-1000873,/src/lib/jackson-core-2.4.6.jar,,CVE-2018-1000873,CWE-20,,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2017-15095,/src/lib/jackson-databind-2.4.6.jar,,CVE-2017-15095,"CWE-502,CWE-184",,"A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper. This issue extends the previous flaw CVE-2017-7525 by blacklisting more classes that could be used maliciously."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2017-17485,/src/lib/jackson-databind-2.4.6.jar,,CVE-2017-17485,CWE-502,,"FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the Spring libraries are available in the classpath."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2017-7525,/src/lib/jackson-databind-2.4.6.jar,,CVE-2017-7525,"CWE-502,CWE-184",,"A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and 2.8.9, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-11307,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-11307,CWE-502,,"An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default typing along with a gadget class from iBatis allows exfiltration of content. Fixed in 2.7.9.4, 2.8.11.2, and 2.9.6."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-14718,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-14718,CWE-502,,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-14719,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-14719,CWE-502,,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the blaze-ds-opt and blaze-ds-core classes from polymorphic deserialization.
